nome;preco_normal;preco_assinatura
Perfume Lovely Pet Society para Cães e Gatos 50ml;R$ 88,90;R$ 80,01
Bastão Petz para Calopsitas com Milho Verde 90g;R$ 15,99;R$ 14,39
Areia Higiênica Clássica Petz para Gatos 3kg;R$ 23,99;R$ 21,59
Bandeja Sanitária Petz Azul Turquesa para Gatos;R$ 89,99;R$ 80,99
Porta Ração Petz Rosa 15kg;R$ 69,89;R$ 62,90
Periovet Gel Kit Vetnil 25g;R$ 66,99;R$ 60,29
Gel Dental Mundo Animal Good Care Haliclean;R$ 48,90;R$ 44,01
Gaiola Monaco Castelo para Calopsita Verde;R$ 209,99;R$ 188,99
Brinquedo Arranhador São Pet House Marrom para Gatos;R$ 299,99;R$ 269,99
Dermotrat Creme Ourofino 20 g;Ourofino;R$ 73,90;R$ 66,51